Global;Género-pos;Categoría-pos;BIB;Nombre;Género;Categoría;Tiempo de carrera;Ritmo;distancia
1;1;1;92;Jaider Rodriguez;M;SUB-M-Juvenil;19:11;3:50 min/Km;5k
2;2;2;114;Santiago Villadiego;M;SUB-M-Juvenil;19:50;3:58 min/Km;5k
3;3;3;107;Isarael Manga;M;SUB-M-Juvenil;21:07;4:13 min/Km;5k
4;4;4;73;Josero Orozco;M;SUB-M-Juvenil;22:27;4:29 min/Km;5k
5;5;5;111;Eiber Zambrano;M;SUB-M-Juvenil;22:36;4:31 min/Km;5k
6;6;1;91;Joyner Baron;M;SUB-M-Abierta;22:43;4:32 min/Km;5k
7;7;2;115;Andres Ruiz;M;SUB-M-Abierta;22:47;4:33 min/Km;5k
8;8;6;106;Caner Hernadez;M;SUB-M-Juvenil;22:49;4:33 min/Km;5k
9;1;1;300;Katy Cahuana;F;SUB-F-Juvenil;23:07;4:37 min/Km;5k
10;9;7;112;Samuel Ortiz;M;SUB-M-Juvenil;23:27;4:41 min/Km;5k
11;2;1;312;Sharon Viloria;F;SUB-F-Abierta;23:29;4:41 min/Km;5k
12;10;8;78;Esteban Caseres;M;SUB-M-Juvenil;25:00:00;5:00 min/Km;5k
13;11;9;116;Sebastian Altamar;M;SUB-M-Juvenil;25:19:00;5:03 min/Km;5k
14;12;3;77;Yoemir Bolaños;M;SUB-M-Abierta;25:32:00;5:06 min/Km;5k
15;13;10;89;Isaias Contrera;M;SUB-M-Juvenil;25:34:00;5:06 min/Km;5k
16;14;11;86;Luis Gutierrez;M;SUB-M-Juvenil;25:43:00;5:08 min/Km;5k
17;3;2;313;Yaile De La Cruz;F;SUB-F-Abierta;26:23:00;5:16 min/Km;5k
18;15;12;104;Jesus Carillo;M;SUB-M-Juvenil;26:41:00;5:20 min/Km;5k
19;16;13;105;Denin Hernadez;M;SUB-M-Juvenil;26:50:00;5:22 min/Km;5k
20;17;14;87;Andres Sandobla;M;SUB-M-Juvenil;27:13:00;5:26 min/Km;5k
21;18;15;88;Juan Tovar;M;SUB-M-Juvenil;27:32:00;5:30 min/Km;5k
22;4;2;289;Dayana Michael;F;SUB-F-Juvenil;28:32:00;5:42 min/Km;5k
23;5;3;295;Yaira Lobo;F;SUB-F-Juvenil;28:33:00;5:42 min/Km;5k
24;19;16;110;Cristian Muñoz;M;SUB-M-Juvenil;28:36:00;5:43 min/Km;5k
25;20;17;119;Santiago Villareal;M;SUB-M-Juvenil;28:39:00;5:43 min/Km;5k
26;21;4;75;Luis Navarro;M;SUB-M-Abierta;28:41:00;5:44 min/Km;5k
27;6;3;301;Gabriela Pedroza;F;SUB-F-Abierta;29:13:00;5:50 min/Km;5k
28;7;4;317;Ginna Gomez;F;SUB-F-Abierta;29:17:00;5:51 min/Km;5k
29;22;18;117;Geronimo Saades;M;SUB-M-Juvenil;29:42:00;5:56 min/Km;5k
30;23;19;113;Mateo Torrabol;M;SUB-M-Juvenil;30:13:00;6:02 min/Km;5k
31;24;20;82;Jader Martinez;M;SUB-M-Juvenil;30:16:00;6:03 min/Km;5k
32;8;4;291;Taliana Varga;F;SUB-F-Juvenil;30:41:00;6:08 min/Km;5k
33;25;5;79;Sebastian Leiva;M;SUB-M-Abierta;30:49:00;6:09 min/Km;5k
34;9;5;302;Zury Gamarra;F;SUB-F-Abierta;31:05:00;6:13 min/Km;5k
35;10;5;288;Keidin Hurtado;F;SUB-F-Juvenil;31:13:00;6:14 min/Km;5k
36;26;6;204;Albino Muñoz;M;SUB-M-Abierta;31:16:00;6:15 min/Km;5k
37;11;6;316;Miredis Pacheco;F;SUB-F-Abierta;31:33:00;6:18 min/Km;5k
38;12;7;303;Rosio Contrera;F;SUB-F-Abierta;32:02:00;6:24 min/Km;5k
39;13;6;308;Yeimis Mercado;F;SUB-F-Juvenil;32:42:00;6:32 min/Km;5k
40;27;21;84;Santiago Guete;M;SUB-M-Juvenil;32:48:00;6:33 min/Km;5k
41;28;7;108;Mateo Cañas;M;SUB-M-Abierta;32:58:00;6:35 min/Km;5k
42;29;22;85;Richard Benavides;M;SUB-M-Juvenil;33:04:00;6:36 min/Km;5k
43;30;23;83;Jesus Zambrano;M;SUB-M-Juvenil;33:13:00;6:38 min/Km;5k
44;14;8;290;Sofia Tapia;F;SUB-F-Abierta;33:16:00;6:39 min/Km;5k
45;31;24;90;Jorge Fandiño;M;SUB-M-Juvenil;33:52:00;6:46 min/Km;5k
46;32;25;118;Cesar Saades;M;SUB-M-Juvenil;33:56:00;6:47 min/Km;5k
47;15;7;294;Shery Lobo;F;SUB-F-Juvenil;35:50:00;7:10 min/Km;5k
48;16;9;293;Yuleidis Cantillo;F;SUB-F-Abierta;35:56:00;7:11 min/Km;5k
49;17;10;292;Angie Narvaez;F;SUB-F-Abierta;35:59:00;7:11 min/Km;5k
50;18;11;297;Daylis Navarro;F;SUB-F-Abierta;36:33:00;7:18 min/Km;5k
51;33;26;219;Josue Ospino;M;SUB-M-Juvenil;36:39:00;7:19 min/Km;5k
52;19;12;296;Natalia Riquel;F;SUB-F-Abierta;37:52:00;7:34 min/Km;5k
